index,Timestamp,n-payments-per-block,miners-revenue,trade-volume,avg-block-size,n-unique-addresses,difficulty,hash-rate
172,4/22/2019 0:00,4102,0.062836471,0.048766756,1.142223119,0.293560441,635,46.358031
450,1/25/2020 0:00,2609,0.16528083,0.024709335,0.853311744,0.185923585,1480,110.600318
125,3/6/2019 0:00,3678,0.022806601,0.079920377,1.235649305,0.334545681,607,43.852038
551,5/5/2020 0:00,3785,0.180332579,0.05092039,1.204144266,0.6009404,1610,118.883007
984,7/12/2021 0:00,4253,0.30753583,0.034863097,1.177102119,0.408983621,1440,97.204622
753,11/23/2020 0:00,4180,0.176737576,0.079143729,1.229474912,0.66402815,1760,141.076183
1032,8/29/2021 0:00,2943,0.581197582,0.032305625,0.849401571,0.579888834,1760,129.727331
90,1/30/2019 0:00,3488,0.016130358,0.031557597,1.074707971,0.237592639,581,42.667171
1054,9/20/2021 0:00,3767,0.553952598,0.034812394,1.214339067,0.517925204,1840,139.53653
181,5/1/2019 0:00,3739,0.096395645,0.01268431,1.126911234,0.397471508,635,47.822788
363,10/30/2019 0:00,3701,0.149242968,0.045663904,1.099223104,0.353067198,1370,92.695123
541,4/25/2020 0:00,3803,0.110764201,0.033096067,1.239612485,0.497753316,1600,113.010798
274,8/2/2019 0:00,3482,0.237742568,0.046851698,1.033215941,0.421987295,901,71.4364
807,1/16/2021 0:00,4801,0.443146705,0.369301254,1.31976832,0.697203712,2060,153.019188
251,7/10/2019 0:00,4817,0.223061069,0.106956442,1.270236891,0.477461543,906,67.824438
69,1/9/2019 0:00,2881,0.051008772,0.086347843,0.884137811,0.238565735,562,42.653392
291,8/19/2019 0:00,3304,0.236350712,0.01648302,0.93890562,0.322951049,1020,70.938762
131,3/12/2019 0:00,3405,0.032069154,0.028792335,1.004161133,0.346373856,607,42.296166
300,8/28/2019 0:00,3618,0.193608568,0.024397675,1.038467139,0.336138444,1020,73.547109
549,5/3/2020 0:00,3099,0.198179246,0.027342148,1.19645581,0.532741172,1600,113.443174
326,9/23/2019 0:00,4717,0.132183236,0.010777427,1.243719526,0.365200536,1190,94.235786
144,3/25/2019 0:00,3506,0.037695091,0.007381722,1.056967818,0.342967242,638,47.511943
730,10/31/2020 0:00,5149,0.114897151,0.07585445,1.279690805,0.649705736,2000,113.182308
893,4/12/2021 0:00,5156,0.72836411,0.091537882,1.345640743,1,2310,171.703706
743,11/13/2020 0:00,4595,0.150524409,0.143072822,1.276639295,0.577867908,1680,128.278422
135,3/16/2019 0:00,2609,0.050718621,0.085714288,0.788659847,0.246278881,607,43.18937
338,10/5/2019 0:00,3199,0.155104398,0.021297425,0.885488658,0.265177181,1280,91.519572
1048,9/14/2021 0:00,3634,0.593376328,0.117769367,1.037876732,0.533228498,1840,132.770954
164,4/14/2019 0:00,4036,0.044489749,0.025638916,1.196266385,0.186747213,639,45.944646
28,11/29/2018 0:00,3873,0.013999245,0.239900616,1.202130114,0.235434701,665,41.436683
920,5/9/2021 0:00,3620,0.884686218,0.157125404,1.360895032,0.844999066,2060,177.526237
193,5/13/2019 0:00,3836,0.155975922,0.130264022,1.203409635,0.527206203,670,47.262072
1084,10/20/2021 0:00,4536,0.755915548,0.179686931,1.179138664,0.446882979,2010,147.578458
740,11/10/2020 0:00,4299,0.156187575,0.115858655,1.225739374,0.584799464,1680,128.39593
433,1/8/2020 0:00,3497,0.13540542,0.05850152,1.063490894,0.378647942,1380,109.390649
644,8/6/2020 0:00,4562,0.120582593,0.04949871,1.277008282,0.396068693,1680,119.881689
169,4/19/2019 0:00,4330,0.077680487,0.060789048,1.212485171,0.44681136,639,44.71885
