Timestamp,n-payments-per-block,miners-revenue,trade-volume,avg-block-size,n-unique-addresses,difficulty,hash-rate
4/19/2019 0:00,4330,10531919,217894138,1.212485171,597098,6390000000000,44718850
4/20/2019 0:00,3949,9275897,186470172,1.240556481,456520,6390000000000,44764250
4/21/2019 0:00,3504,11248346,147414017,1.142430407,426630,6360000000000,44582650
4/22/2019 0:00,4102,9411112,179818212,1.142223119,498668,6350000000000,46358031
4/23/2019 0:00,4652,8538020,268620376,1.255767388,548492,6350000000000,45820575
4/24/2019 0:00,4186,12202482,371060447,1.234416043,645489,6350000000000,44471034
4/25/2019 0:00,4341,10225361,360348203,1.219515846,577184,6350000000000,45559737
4/26/2019 0:00,4275,10183522,346365600,1.255490709,593570,6350000000000,45246724
4/27/2019 0:00,4045,9112041,344577947,1.170310445,460846,6350000000000,45158439
4/28/2019 0:00,3418,10771721,153300179,0.977574344,445722,6350000000000,45391929
4/29/2019 0:00,3688,11244135,104885493,1.203267613,573010,6350000000000,45431648
4/30/2019 0:00,4490,9672353,254115383,1.295070857,604307,6350000000000,46740008
5/1/2019 0:00,3739,11945019,65541116,1.126911234,565408,6350000000000,47822788
5/2/2019 0:00,3709,12941749,51098586,1.100861511,584864,6350000000000,48183714
5/3/2019 0:00,4263,11122649,68390512,1.228199987,615404,6350000000000,50033464
5/4/2019 0:00,4141,10035261,171606287,1.187771273,508298,6550000000000,50078580
5/5/2019 0:00,4416,9591033,120664799,1.196308186,460613,6700000000000,50041435
5/6/2019 0:00,4253,11100910,55755075,1.222187444,573048,6700000000000,48827339
5/7/2019 0:00,4985,10026818,84401987,1.267977197,578857,6700000000000,48660339
5/8/2019 0:00,4884,11731704,147447100,1.243073447,635596,6700000000000,48388717
5/9/2019 0:00,4247,12149463,92603630,1.258699753,619054,6700000000000,47908385
5/10/2019 0:00,4931,10770043,127083000,1.259484184,618182,6700000000000,46746357
5/11/2019 0:00,4251,11877938,169471566,1.240594785,573741,6700000000000,45838154
5/12/2019 0:00,3489,15580745,358764816,1.234789487,551654,6700000000000,45881810
5/13/2019 0:00,3836,16443666,437929061,1.203409635,648734,6700000000000,47262072
5/14/2019 0:00,4301,16211652,459019962,1.230687118,669376,6700000000000,48023596
5/15/2019 0:00,4529,16983774,372592512,1.237726027,675925,6700000000000,49213477
5/16/2019 0:00,4727,16642489,284130100,1.245267137,682196,6700000000000,49070691
5/17/2019 0:00,4534,15398528,295196718,1.261404709,676115,6700000000000,48880310
5/18/2019 0:00,3954,14984660,455963414,1.242334013,588499,6700000000000,50117787
5/19/2019 0:00,3494,17128952,117316463,1.124021644,516859,6700000000000,51214226
5/20/2019 0:00,4093,17411194,293462036,1.177317634,617241,6700000000000,51455053
